holding_id,portfolio_id,ticker,company_name,asset_class,sector,quantity,average_cost,current_price,market_value,cost_basis,unrealized_gain,unrealized_gain_pct,current_allocation_pct,target_allocation_pct,drift_pct,drift_status,recommended_action,recommended_shares,dividend_yield,last_updated
HOLD-001,PORT-001,AAPL,Apple Inc.,US Equity,Technology,125.0,165.5,182.45,22806.25,20687.5,2118.75,10.24,4.3,3.0,1.3,Warning,SELL,-28,0.52,2026-02-12 15:30:00
HOLD-002,PORT-001,MSFT,Microsoft Corporation,US Equity,Technology,85.0,380.2,412.3,35045.5,32317.0,2728.5,8.44,6.7,5.0,1.7,Warning,SELL,-17,0.78,2026-02-12 15:30:00
HOLD-003,PORT-001,BND,Vanguard Total Bond Market ETF,Bonds,Fixed Income,320.0,72.8,70.25,22480.0,23296.0,-816.0,-3.5,4.3,6.0,-1.7,Warning,BUY,78,3.25,2026-02-12 15:30:00
HOLD-004,PORT-001,VWO,Vanguard FTSE Emerging Markets ETF,International Equity,Equity,450.0,41.2,39.8,17910.0,18540.0,-630.0,-3.4,3.4,5.0,-1.6,Warning,BUY,212,2.85,2026-02-12 15:30:00
HOLD-005,PORT-001,VEA,Vanguard FTSE Developed Markets ETF,International Equity,Equity,580.0,48.9,51.25,29725.0,28362.0,1363.0,4.8,5.7,5.0,0.7,Safe,HOLD,0,2.45,2026-02-12 15:30:00
HOLD-006,PORT-001,VNQ,Vanguard Real Estate ETF,REITs,Real Estate,235.0,88.5,91.2,21432.0,20797.5,634.5,3.05,4.1,5.0,-0.9,Safe,BUY,52,3.82,2026-02-12 15:30:00
HOLD-007,PORT-001,GLD,SPDR Gold Trust,Commodities,Precious Metals,75.0,178.9,185.2,13890.0,13417.5,472.5,3.52,2.6,2.5,0.1,Safe,HOLD,0,0.0,2026-02-12 15:30:00
HOLD-008,PORT-001,GOOGL,Alphabet Inc.,US Equity,Technology,95.0,138.75,145.8,13851.0,13181.25,669.75,5.08,2.6,2.0,0.6,Safe,HOLD,0,0.0,2026-02-12 15:30:00
HOLD-009,PORT-001,JNJ,Johnson & Johnson,US Equity,Healthcare,165.0,158.2,162.5,26812.5,26103.0,709.5,2.72,5.1,4.0,1.1,Warning,SELL,-29,2.95,2026-02-12 15:30:00
HOLD-010,PORT-001,PG,Procter & Gamble Co.,US Equity,Consumer Staples,125.0,145.8,152.3,19037.5,18225.0,812.5,4.46,3.6,3.0,0.6,Safe,HOLD,0,2.48,2026-02-12 15:30:00
HOLD-011,PORT-002,VFIAX,Vanguard 500 Index Fund,US Equity,Equity,185.0,385.5,412.8,76368.0,71317.5,5050.5,7.08,30.7,30.0,0.7,Safe,HOLD,0,1.48,2026-02-12 15:30:00
HOLD-012,PORT-002,VBTLX,Vanguard Total Bond Market Index,Bonds,Fixed Income,4250.0,10.85,10.45,44412.5,46112.5,-1700.0,-3.69,17.9,20.0,-2.1,Warning,BUY,500,3.85,2026-02-12 15:30:00
